userId,playNum
p00197jrwu5,402
r0019oz48d6,427
l0019hmegbl,437
h0019x3c2if,399
a00196bxdeo,381
b0019sop1g1,402
p0019ru16gk,421
k0019ngqihc,402
o0013fsukbv,64
u0020vgdb8y,1526
r0020q99c6q,1695
n0020xor1vi,1643
s002045ar5j,1577
m0020ne8guv,1686
d00202xd82a,1479
y00151bevkg,392
f0020shi8th,2707
m00206hxb7f,2600
r0020ivsbcc,2754
j002024w2wg,2967
r002013ojow,1503
i0020rq4efo,2843
l0020z7maus,2724
b0020buglwx,3119
a00205ew9zw,2398
f0020abyr2f,2270
i0020sf0wbf,2121
v0020ywhz68,2451
w0020idxbrh,2162
z0020rwkams,2323
s00201cb0qq,2278
1695639246,146
e0302cuxynk,73
x0302syyf67,83
f0302cjxghc,157
j03042z2j3k,75
w0303vmn1wc,54
h0304uaqeh4,78
d0020mtjec2,87
d0019gamq3e,65
d0183el1pvb,154
f0179oeey8f,140
l0304zehhvt,177
d0303bkt6rx,57
y0304so79gl,91
u0013p0saun,337
m0013nww5jv,374
m0013mmtxx8,276
s0013azratz,286
j0305ybxtjp,115
q0013xrh57u,337
u0013boah6z,310
f0013ap1ln3,390
r0013qq5zjf,345
i00133gois6,335
g0014370id3,354
d001352yr2r,345
x0013gnqbkl,236
o001379dtbb,268
c00131x2t0b,481
y0013p2sia5,277
s0018fkjdiw,867
q0013jig5tz,347
s0019j5exu1,280
n0013vwm46a,282
c00139sdn0l,259
p0013r6toli,330
c0013kwx2nz,418
b001304d5r6,292
x00184i8k2p,893
u0015jbwrbc,303
d00131qu2bc,343
b0013azrd00,287
d0014yyoel9,361
n0013jjecmm,450
k00130bg9yr,286
h00133luw49,257
r0013xk1ijf,364
h0020gvghw6,438
f0013ununb2,239
r0013fdqxk7,309
l00132e24k9,251
t0013ikadi9,355
x00133gmd0d,366
l0013i4v90e,353
y0013z0celd,251
g0013dwcmyx,370
e0013qdtoo9,299
c0013044fg1,331
g0013bwgu44,281
l0013w0e7o5,275
p0013lelzr6,438
o0013sln12x,269
z0013ux2fwn,226
x00189lmxr6,868
k00139iwsq6,292
k0013bl3u6t,296
b0013nmekag,231
g0013mg94cs,523
o0013r9acal,236
g0305bg9ahk,63
202046,84
1849251522,53
z03052z13sq,153
889N9C6cNtw,57
8o6HIPo01Cv,51
y0304a2qhf9,154
l0020rntegl,625
g0304w4d5tt,157
l0300bnj5b3,174
t01731ylbzu,59
t00200ezb3m,123
v00204ck90n,109
g0019zzfocy,121
t002079148p,108
i0020aywtel,112
y0019vwnwmw,122
o00204whxfk,118
p0020bneeq3,122
d0020svfe7c,125
b00205qoorx,127
l002014izqd,122
i0020jc7afm,141
a00206pipaf,128
n0020l5iol8,139
j0020wmb17l,133
n0020br1lq3,129
u0020y2k4my,141
d0020b2q5fv,1449
k0020kslbkk,1939
u0020mveilc,1097
s0020ikvofl,938
m0020lkxqxj,648
a002031skvy,735
a0020ptrts6,615
o0020u77uly,10504
u0020nbq1v2,268
l0020p7flyf,252
p0020mpn52g,570
k0020q9qg2s,251
a0020ozkw0j,269
k0020j41rsy,505
z0020mqr7nk,283
b0020p7btr9,294
p00206eltt7,500
w0020hg059t,338
u0020s8jsix,509
a0020xivzmy,476
h0020jd6ldt,454
u0020001irg,795
p00195ea3vy,76
n0303nqg93r,58
s0020qfs4l9,70
w0305r6e1m9,53
j0305880xwb,57
c0020jb8ozv,289
j0020ou3dqf,784
d0160j54upr,80
b0187lm55cr,99
k0186johwmd,82
c0015wi9pud,111
z0015ojcbur,114
u0015l3lck1,104
c0015w4w5z3,109
z0015dd8ce0,119
c0016cdyhrz,117
o00154dyu7w,126
o001526j68w,112
b0015ik969t,108
q0015wa6ggu,115
u0015dcz00h,109
o0015gba932,110
n0015wqdiey,106
s0015qrkrxa,109
p0015mnkwbu,114
w0015ufbhic,110
z001588o5ct,113
s0015t9lb9a,110
h0015b8qwsr,106
s00158b2af7,116
u0015lih61v,106
s0020o0se49,7863
n0147vcwkfh,103
s00209ktrxt,1081
j0013fv172r,1012
n00139kottc,777
z0013qc8gt1,845
y0016cigs8r,1109
a0013u3iscv,456
u0013q3dmwv,465
k0013nxagyl,992
y0013r8o6tm,788
a0013s3vmzv,1019
p0013k8igp0,628
m0020kbna17,612
v0020t9r320,1455
n0020am91hm,2454
k0020pymqcw,2166
z002049tssg,2663
y0017nkmzjv,275
j0017zgpx8d,294
k0017fcsvir,296
c0017honw3k,272
y0017jb0efw,283
a0017u1hibj,283
e0017kbglld,277
a0017x3iipx,276
e00187h12mt,112
l0018paifbo,141
z0012x4fqf0,53
d0018ali4pu,93
l0180hgzxog,123
h0181qao8up,132
u0181b02fpx,132
s0182nuzlle,141
81iSLYmHD8G,148
88bydlhlA1S,136
w0181kyitm3,125
85425NV3SEM,121
j01814717to,125
r0182472o98,133
8lFQMMcdkKD,124
x0182l62ns3,137
i0181f5qw4y,139
g0182f2stsp,136
j0181j9yrcr,124
a0181uthh9k,130
o0181h988tj,127
j0012vff8v5,61
x0182ve4pbz,132
x0180h1y7ok,120
8iZ7zfPoaOR,117
g01800k4g6l,120
e0179rsdj5f,127
o0178oodx85,118
j0179lmx4z2,120
q0179ebwiou,124
a0180sjqck1,118
y0178odcaxn,119
8IyQkoGuM0D,114
f0178au4y34,123
p017833agpm,132
n01791hnufx,121
v0180f4s9ga,115
g0178cjytrd,126
o01789moven,139
f0179jf5h6s,140
8RM1kHX50AK,107
8TNMka4HjIn,104
u0180mi3qzd,126
8gN9mu7QCdC,102
8za0dYyaHB6,113
8fcgJZsErUK,106
t0176vocrak,112
p01761nr6hp,100
f0178zhngae,112
u0176bjc3lz,109
p01762bdg5m,108
b0015lymdzc,97
r0015i3yw29,102
m0015x2d40u,99
n0015fi0e6q,106
x00154x6se1,102
j0015y2gk7y,97
i0015qxa7cn,115
8RJflSCA223,107
y0015zqrusj,100
i0015zw0iwv,98
a0015bm8905,92
v001551nymk,120
o0015y6cgne,106
k00151ih3k0,112
y0015oxxjyn,108
p0015mr5arx,92
r0015xgj0f5,105
j001581itmk,93
p0015f52g0p,95
e0015c1kvrt,101
g0015xrxemu,93
k0015ssutpx,103
j00157yac4u,110
8oaYYWTdU1Z,112
r0015tqh6hb,100
a0015a20vzd,111
8WExsK0cyIF,121
o00158y0knf,112
l0015zo9eqv,94
p0015tkv2od,100
p001532nby8,93
x00153mf3pf,100
n00157wz4n2,101
e0015gea13d,96
j0015qt3q8g,98
x001506f7o2,108
b0015m4x6s8,105
n00159drfkw,100
8NQAhKmk4sq,126
o0015wkojy4,99
q00154s48cv,91
z0015dbuaga,91
n0015gcwrlb,105
b00154y5xd3,102
i0015j6p5k2,102
c00153i4a0s,97
w0015ivdvsi,104
q0015amvfep,97
d0015399urp,98
o0015gbdb7h,92
8JqIIqLkEXM,113
i0015il8tel,111
